IFRS_MONTH,NAMA_PRODUK,Kontrak_Baru_Periode_Berjalan,Accretion_Interest_unwind,Efek_Perubahan_Varians_n_Asumsi_Ekonomi,Amortisasi_CSM_Release,Contractual Service Margin
2023-12-01,AJK,2601844.9676292744,1250867.8120581538,1963194.0028834925,-37539619.47532197,342777903.69517994
2024-01-01,AJK,3219933.3636791627,-210197.73384631114,2074632.132833142,-28268075.277816024,319594196.1800299
2024-02-01,AJK,6748449.366048188,-438068.83676141064,2212724.5843259115,-24216163.483404808,303901137.81023777
2024-03-01,AJK,20506627.79284823,-238278.23024590305,2001007.7324266455,-20714474.74545264,305456020.3598141
2024-04-01,AJK,19941946.18984062,8180275.544457304,-6587660.397409107,-18401774.677302733,308588807.01940024
2024-05-01,AJK,12155080.092139132,8614573.334174687,-7037256.980107484,-16679454.993674483,305641748.47193205
2024-06-01,AJK,25659894.916482262,1469510.3479459188,400042.67089347146,-16332680.690008659,316838515.71724504
2024-07-01,AJK,48623429.42757206,2212630.0688784877,-137568.0284152943,-17665069.15432454,349871938.0309558
2024-08-01,AJK,45042259.19774435,2576747.242545233,-328463.3774633702,-19020498.84382345,378141982.2499585
2024-09-01,AJK,39230398.11275454,2409796.420784891,-21539.052267961964,-20349251.300224107,399411386.4310059
2023-12-01,AJK_RELIFE,0.0,0.0,0.0,0.0,0.0
2024-01-01,AJK_RELIFE,0.0,0.0,0.0,0.0,0.0
2024-02-01,AJK_RELIFE,0.0,0.0,0.0,0.0,0.0
2024-03-01,AJK_RELIFE,0.0,0.0,0.0,0.0,0.0
2024-04-01,AJK_RELIFE,0.0,0.0,0.0,0.0,0.0
2024-05-01,AJK_RELIFE,0.0,0.0,0.0,0.0,0.0
2024-06-01,AJK_RELIFE,0.0,0.0,0.0,0.0,0.0
2024-07-01,AJK_RELIFE,0.0,0.0,0.0,0.0,0.0
2024-08-01,AJK_RELIFE,0.0,0.0,0.0,0.0,0.0
2024-09-01,AJK_RELIFE,0.0,0.0,0.0,0.0,0.0
2023-12-01,RELIFE,26930121.187950894,-13614583.592740623,0.0,13614583.592740623,5.050973e-10
2024-01-01,RELIFE,0.0,0.0,0.0,-7.504504881431934e-13,5.043468495118568e-10
2024-02-01,RELIFE,0.0,0.0,0.0,-7.504504881426237e-13,5.035963990237142e-10
2024-03-01,RELIFE,0.0,0.0,0.0,-7.504504881420578e-13,5.028459485355721e-10
2024-04-01,RELIFE,0.0,0.0,0.0,-1.1607495773227114e-10,3.86770990803301e-10
2024-05-01,RELIFE,0.0,0.0,0.0,-5.33223769463512e-13,3.8623776703383744e-10
2024-06-01,RELIFE,0.0,0.0,0.0,-5.332237694623641e-13,3.857045432643751e-10
2024-07-01,RELIFE,0.0,0.0,0.0,-5.331565177231071e-13,3.8517138674665203e-10
2024-08-01,RELIFE,0.0,0.0,0.0,-5.312825848553459e-13,3.8464010416179667e-10
2024-09-01,RELIFE,0.0,0.0,0.0,-5.31282584854185e-13,3.841088215769425e-10
2023-12-01,RPUL,0.0,0.0,0.0,0.0,0.0
2024-01-01,RPUL,0.0,0.0,0.0,0.0,0.0
2024-02-01,RPUL,0.0,0.0,0.0,0.0,0.0
2024-03-01,RPUL,0.0,0.0,0.0,0.0,0.0
2024-04-01,RPUL,0.0,0.0,0.0,0.0,0.0
2024-05-01,RPUL,0.0,0.0,0.0,0.0,0.0
2024-06-01,RPUL,375347.7921616687,0.0,-1200.0016529217828,-7971.303318133488,366176.48719061346
2024-07-01,RPUL,0.0,-569.9083141991015,-850.6447552920727,-7740.4913402461,357015.4427808762
2024-08-01,RPUL,276456.4177434307,-3604.253060678394,-54775.063917964435,-12349.290077949103,562743.253467715
